City Name,Country,Latitude,Longitude,Max Temperature (*F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Date
Muzaffarabad,PK,34.37,73.4711,72.25,21,100,2.55,1612856129
Klaksvík,FO,62.2266,-6.589,28.4,93,20,5.75,1612856130
Lompoc,US,34.6391,-120.4579,51.8,82,90,3.44,1612855911
Tual,ID,-5.6667,132.75,83.93,78,100,19.01,1612855557
Bang Saphan,TH,11.2126,99.5117,87.8,66,20,6.91,1612856130
Nome,US,64.5011,-165.4064,6.8,51,90,13.8,1612855544
Lakatoro,VU,-16.0999,167.4164,81.1,64,5,3.78,1612856049
Villarrica,PY,-25.75,-56.4333,67.55,80,68,1.48,1612856130
La Ronge,CA,55.1001,-105.2842,-20.2,63,100,9.22,1612855546
Kenora,CA,49.8167,-94.4337,-20.0,76,75,8.05,1612856130
Oranjemund,NA,-28.55,16.4333,69.49,72,18,14.97,1612856131
Bluffton,US,32.2371,-80.8604,54.0,94,90,8.05,1612856131
Ende,ID,-8.8432,121.6623,82.67,76,100,4.0,1612856131
Iquique,CL,-20.2208,-70.1431,68.0,68,0,12.66,1612856131
Schattdorf,CH,46.8655,8.6547,32.0,100,90,2.3,1612856131
Santa Cruz de Tenerife,ES,28.4682,-16.2546,60.01,87,75,10.36,1612856131
Conselheiro Pena,BR,-19.1722,-41.4722,70.5,90,100,2.15,1612856131
Necochea,AR,-38.5473,-58.7368,51.01,95,8,1.01,1612856131
Benghazi,LY,32.1167,20.0667,62.74,53,0,15.66,1612856132
Mandiana,GN,10.6333,-8.6833,70.32,26,0,5.12,1612856132
Bonanza,NI,14.0289,-84.591,67.26,96,14,1.54,1612856132
Siemiatycze,PL,52.4272,22.8623,18.0,87,100,1.01,1612856132
Twin Falls,US,42.3505,-114.6445,27.0,74,40,5.75,1612856132
Kerema,PG,-7.9631,145.7785,83.26,76,100,3.71,1612856132
Kargat,RU,55.1956,80.2811,-1.95,90,100,17.74,1612856132
Hambantota,LK,6.1241,81.1185,89.6,58,20,17.27,1612856132
Les Cayes,HT,18.2,-73.75,73.62,77,35,3.47,1612856133
Lethem,GY,3.3803,-59.7968,74.66,76,7,11.97,1612856133
Norman Wells,CA,65.282,-126.8329,-38.2,67,1,4.61,1612855859
Puerto Colombia,CO,10.9878,-74.9547,78.8,78,0,11.5,1612856133
Marzuq,YE,14.4,46.4667,64.89,48,100,14.07,1612856133
Kieta,PG,-6.2167,155.6333,82.18,79,100,5.35,1612856133
Black River,JM,18.0264,-77.8487,75.2,78,20,2.3,1612856133
Bloemfontein,ZA,-29.1211,26.214,73.4,73,40,13.8,1612855861
Ferrol,ES,43.4832,-8.2369,53.01,76,100,3.0,1612856066
Nouadhibou,MR,20.931,-17.0347,59.0,82,0,21.85,1612855545
Altamira,BR,-3.2033,-52.2064,73.02,96,100,3.78,1612855556
Poum,NC,-20.2333,164.0167,80.58,78,33,10.98,1612856134
Cherskiy,RU,68.75,161.3,7.88,85,37,9.17,1612855539
Leshukonskoye,RU,64.8989,45.7622,-13.72,89,85,3.11,1612856134
Qandala,SO,11.472,49.8728,77.22,57,86,12.12,1612856134
Micomeseng,GQ,2.1462,10.6164,77.67,81,100,1.41,1612856134
Golden,US,39.7555,-105.2211,25.0,79,1,4.61,1612856135
Alice Springs,AU,-23.7,133.8833,89.01,62,75,12.66,1612856135
Khovu-Aksy,RU,51.1333,93.6,25.79,90,56,6.71,1612856135
Hirara,JP,24.8,125.2833,68.0,68,75,13.8,1612856135
Severobaykal'sk,RU,55.65,109.3167,17.64,94,100,0.6,1612856135
Rioblanco,CO,3.5308,-75.6806,61.61,78,99,3.85,1612856135
San Francisco,US,37.7749,-122.4194,54.0,76,90,12.66,1612855611
Toora-Khem,RU,52.4675,96.11,28.0,94,100,5.37,1612856135
Plácido de Castro,BR,-10.3353,-67.1856,72.45,97,100,1.03,1612856135
Yar-Sale,RU,66.8333,70.8333,-19.52,86,57,8.99,1612856136
Malanje,AO,-9.5402,16.341,67.53,92,99,5.21,1612856136
Mana,GF,5.6592,-53.7767,76.19,79,79,11.21,1612855541
Tommot,RU,58.9564,126.2925,3.65,92,100,1.72,1612856136
Nelson,NZ,-41.2833,173.2833,64.99,97,100,1.99,1612855837
Nakambala,ZM,-15.8324,27.7799,70.43,93,98,4.14,1612856136
Karaton,ID,-6.3424,106.1045,87.8,66,40,13.8,1612856136
Mayo,US,38.8876,-76.5119,34.0,75,1,4.61,1612856136
Pangnirtung,CA,66.1451,-65.7125,7.81,75,0,2.46,1612856137
Aksu,CN,41.1231,80.2644,48.45,42,30,4.5,1612856137
Santa Cruz,MA,30.4202,-9.5982,48.2,100,90,2.73,1612856137
Hong Kong,HK,22.2855,114.1577,66.99,74,100,1.99,1612855500
Assiniboia,CA,49.6334,-105.9845,-20.2,63,0,21.85,1612856137
Leiyang,CN,26.4024,112.8591,49.89,87,100,6.91,1612856137
Kahului,US,20.8947,-156.47,71.6,64,1,11.5,1612856137
Portland,US,45.5234,-122.6762,37.0,75,1,1.79,1612855980
Kharp,RU,66.8014,65.8081,-16.58,82,0,2.17,1612856137
Yulara,AU,-25.2406,130.9889,104.0,17,40,11.5,1612855553
Chernyshevskiy,RU,63.0128,112.4714,-11.67,91,100,5.23,1612856138
Izhmorskiy,RU,56.194,86.6414,-1.1,90,100,19.86,1612856138
Tulagi,SB,-9.0996,160.1476,82.98,78,98,18.7,1612856138
Lengshuitan,CN,26.4111,111.5956,48.51,87,100,4.25,1612856138
Laas,IT,46.6166,10.7002,39.0,86,40,3.44,1612856138
Paka,MY,4.6374,103.4368,84.2,79,40,9.22,1612856138
Avera,US,33.194,-82.5271,51.8,89,1,4.61,1612856138
Port-Gentil,GA,-0.7193,8.7815,80.6,100,75,3.44,1612855940
Kasongo-Lunda,CD,-6.4667,16.8167,83.43,63,100,1.54,1612856139
Ajdabiya,LY,30.7554,20.2263,63.03,38,0,8.23,1612856139
Ambulu,ID,-8.345,113.6058,82.53,79,92,4.18,1612856139
Arrifes,PT,37.7667,-25.7,60.01,100,75,18.41,1612856139
Savalou,BJ,7.9281,1.9756,82.99,66,48,3.65,1612856139
Vila Velha,BR,-20.3297,-40.2925,77.0,94,90,3.44,1612856139
Fuyu,CN,45.1833,124.8167,18.75,96,20,4.34,1612856139
Fatezh,RU,52.0891,35.8632,12.2,79,90,22.37,1612856139
Sakakah,SA,29.9697,40.2064,59.0,58,0,8.05,1612856139
Maltahöhe,NA,-24.8333,16.9833,84.65,32,0,12.12,1612855858
Okha,RU,53.5739,142.9478,6.33,93,100,17.36,1612856140
Juneau,US,58.3019,-134.4197,10.4,52,1,21.85,1612855908
Kindu,CD,-2.95,25.95,86.0,53,100,1.41,1612856140
Media Luna,CU,20.1419,-77.435,72.52,86,0,7.36,1612856140
Shingū,JP,33.7333,135.9833,44.6,45,20,16.11,1612856140
Morón,AR,-34.6534,-58.6198,66.99,87,57,5.01,1612855258
Birao,CF,10.2849,22.7882,77.13,17,85,12.39,1612856140
Bengkulu,ID,-3.8004,102.2655,86.04,64,94,13.24,1612856140
Atasū,KZ,48.6814,71.6433,-0.08,91,100,21.27,1612856140
Vestmanna,FO,62.1564,-7.1664,28.4,93,20,5.75,1612856140
Vila Franca do Campo,PT,37.7167,-25.4333,60.01,100,75,18.41,1612855543
Asău,RO,46.4333,26.4,46.4,61,20,16.11,1612855614
Shepsi,RU,44.0361,39.1489,53.01,76,100,15.28,1612856141
Sittwe,MM,20.15,92.9,80.28,43,0,12.28,1612856141
São João da Barra,BR,-21.6403,-41.0511,71.15,92,100,8.7,1612855555
Usinsk,RU,65.9939,57.5281,-14.62,86,100,7.18,1612856141
Jiangyou,CN,31.7667,104.7167,60.89,46,94,3.67,1612856141
Dīglūr,IN,18.55,77.6,87.69,12,0,5.26,1612856141
Gölköy,TR,40.6875,37.6178,73.4,20,20,14.97,1612856141
Makīnsk,KZ,52.6292,70.4169,-6.27,88,100,18.68,1612856141
Corrente,BR,-3.7367,-43.3394,73.47,97,100,1.07,1612856142
Concepción,CL,-36.827,-73.0498,60.8,94,90,6.91,1612855949
Olafsvik,IS,64.8945,-23.7142,31.66,94,85,20.69,1612855551
Fuling,CN,29.7022,107.3919,64.06,49,100,2.3,1612856142
Ekenäs,FI,59.9736,23.4339,9.0,92,10,1.99,1612856142
Brownsville,US,25.9018,-97.4975,69.01,94,90,6.51,1612856142
Nichinan,JP,31.6,131.3667,53.6,54,20,11.5,1612856142
Haines Junction,CA,60.7522,-137.5108,-31.0,75,62,1.14,1612856142
Katherine,AU,-14.4667,132.2667,78.8,89,75,14.97,1612856143
Starozhilovo,RU,54.2254,39.916,3.06,93,100,9.19,1612856143
Bandrele,YT,-12.9067,45.1914,80.6,83,90,9.22,1612856143
Cururupu,BR,-1.8283,-44.8683,75.81,92,100,3.2,1612856143
Inyonga,TZ,-6.7167,32.0667,66.58,96,100,3.91,1612856143
Margate,GB,51.3813,1.3862,32.0,61,100,3.0,1612856143
Krasnosel'kup,RU,65.7,82.4667,-1.1,91,100,15.3,1612856143
Teahupoo,PF,-17.8333,-149.2667,77.0,78,20,3.44,1612856143
Los Llanos de Aridane,ES,28.6585,-17.9182,60.8,72,20,6.91,1612855545
Sisimiut,GL,66.9395,-53.6735,21.07,76,0,6.17,1612856144
Pakse,LA,15.1167,105.7833,93.2,38,40,2.3,1612856144
Wilmington,US,34.2257,-77.9447,48.2,87,1,5.75,1612856047
Prieska,ZA,-29.6641,22.7474,87.13,31,0,6.93,1612856144
Samaná,DO,19.2056,-69.3369,74.32,83,8,10.04,1612856144
Tavda,RU,58.0425,65.2726,-9.63,87,100,8.79,1612856144
Partizánske,SK,48.6286,18.3846,32.0,92,100,1.48,1612856144
Rantauprapat,ID,2.1,99.8333,91.11,54,80,2.26,1612856145
Panipat,IN,29.3889,76.9681,77.92,26,29,7.67,1612856145
Lorengau,PG,-2.0226,147.2712,83.52,76,82,4.9,1612856145
Muscle Shoals,US,34.7448,-87.6675,46.0,76,90,4.94,1612856145
Wahpeton,US,46.2652,-96.6059,-0.4,71,90,3.44,1612856145
Fairbanks,US,64.8378,-147.7164,-18.4,57,1,3.44,1612856080
Montague,US,42.5356,-72.5351,19.99,74,100,0.58,1612856145
Āgaro,ET,7.85,36.65,84.76,26,100,0.65,1612856145
Mount Gambier,AU,-37.8333,140.7667,73.4,53,33,16.11,1612855555
Kiunga,PG,-6.1219,141.2906,82.08,84,90,4.21,1612856145
Port Blair,IN,11.6667,92.75,81.66,64,11,13.4,1612855558
Luanda,AO,-8.8368,13.2343,82.4,69,75,4.61,1612856142
Cabo San Lucas,MX,22.8909,-109.9124,59.0,72,1,5.75,1612855507
Souillac,MU,-20.5167,57.5167,80.6,83,40,11.5,1612856146
Aksarka,RU,66.5606,67.7975,-23.48,85,56,8.19,1612856146
Iracoubo,GF,5.4802,-53.2011,76.73,79,11,12.53,1612856146
Zaysan,KZ,47.4667,84.8667,25.43,97,100,1.5,1612856146
Pandan,PH,14.0453,124.1694,73.8,82,100,19.82,1612856146
Daru,PG,-9.0763,143.2092,83.05,78,100,4.5,1612856147
Jieshi,CN,22.8134,115.8257,73.99,56,100,1.01,1612856147
Buraidah,SA,26.326,43.975,55.4,88,0,4.61,1612855550
Dedza,MW,-14.3779,34.3332,68.0,94,100,2.13,1612856147
Villacarrillo,ES,38.1156,-3.0848,52.0,86,99,6.35,1612856147
Goundam,ML,16.4145,-3.6708,68.86,20,14,12.86,1612856147
Parabel',RU,58.6978,81.4825,1.35,91,100,15.1,1612856147
San-Pédro,CI,4.7485,-6.6363,74.79,92,35,4.29,1612855665
Moerai,PF,-22.4333,-151.3333,81.09,74,0,13.82,1612855556
Pemangkat,ID,1.1667,108.9667,82.33,78,98,11.59,1612856147
Chokwé,MZ,-24.5333,32.9833,86.47,58,0,8.72,1612856148
Tabas,IR,33.5959,56.9244,62.6,39,0,1.97,1612855564
Medianeira,BR,-25.2953,-54.0939,68.0,100,0,2.3,1612856148
Fjerritslev,DK,57.0813,9.2664,24.01,80,90,14.97,1612856148
Pekalongan,ID,-6.8886,109.6753,81.66,80,100,11.5,1612856148
Auki,SB,-8.7676,160.7034,79.05,86,100,10.56,1612856148
Tiksi,RU,71.6872,128.8694,-20.07,88,38,5.73,1612855551
Waslala,NI,13.2333,-85.3833,66.78,93,56,2.73,1612856148
Prince George,CA,53.9166,-122.753,-14.01,70,40,10.36,1612855978
Marathon,US,44.9,-89.7668,-11.2,70,1,9.22,1612856148
Westport,US,41.1415,-73.3579,21.2,63,1,1.34,1612856120
Kultayevo,RU,57.8943,55.9392,-13.0,64,75,13.42,1612856148
Sioux Lookout,CA,50.1001,-91.917,-20.2,69,40,8.05,1612855907
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,72.84,98,100,1.72,1612856149
Ulaanbaatar,MN,47.9077,106.8832,14.0,67,75,4.47,1612856149
Tayshet,RU,55.9342,98.0044,28.17,93,100,14.63,1612856149
Ambon City,ID,-3.6954,128.1814,89.6,66,40,14.97,1612856149
Calabozo,VE,8.9242,-67.4293,74.82,74,47,7.09,1612856149
Lucea,JM,18.451,-78.1736,75.2,78,20,2.3,1612856149
Limbe,CM,4.0242,9.2149,83.59,68,77,1.01,1612856150
Nhulunbuy,AU,-12.2333,136.7667,86.0,70,40,18.41,1612856150
Bundaberg,AU,-24.85,152.35,80.6,54,2,20.71,1612856150
Dwārka,IN,22.2394,68.9678,79.12,34,13,7.96,1612856150
Puerto Escondido,MX,15.85,-97.0667,75.63,63,0,5.79,1612856150
Zhanakorgan,KZ,43.9098,67.2495,28.81,97,100,7.18,1612856150
Caldercruix,GB,55.8889,-3.8866,30.0,90,80,1.99,1612856150
Miraflores,MX,19.2167,-98.8083,59.0,36,1,2.35,1612856150
Khvoynaya,RU,58.9,34.5333,4.17,90,99,1.9,1612856150
Mahajanga,MG,-15.7167,46.3167,82.4,78,40,8.05,1612856150
Aasiaat,GL,68.7098,-52.8699,13.62,88,0,10.31,1612856151
Vanimo,PG,-2.6741,141.3028,82.44,77,94,4.21,1612856151
Mandalgovi,MN,45.7625,106.2708,29.5,74,50,8.79,1612856151
Sechura,PE,-5.5569,-80.8222,73.99,75,97,10.47,1612856151
Mwinilunga,ZM,-11.7358,24.4293,72.23,73,82,7.65,1612856050
Mokrous,RU,51.2333,47.5167,-4.23,86,100,4.07,1612856151
Vestmannaeyjar,IS,63.4427,-20.2734,35.6,80,0,24.16,1612855555
Fuxin,CN,42.0156,121.6589,37.0,61,0,3.62,1612856151
Jalu,LY,29.0331,21.5482,64.18,32,0,7.76,1612856151
Fort-Shevchenko,KZ,44.5086,50.263,32.79,90,100,18.01,1612856151
Wattegama,LK,6.7989,81.4808,89.6,58,20,17.27,1612856151
Coruripe,BR,-10.1256,-36.1756,76.41,81,100,8.16,1612856152
Takoradze,GH,4.8845,-1.7554,80.8,82,76,6.15,1612856152
Parksville,CA,49.3163,-124.3195,37.4,93,35,9.22,1612856152
Ichhāwar,IN,23.0167,77.0167,78.8,34,4,4.61,1612856152
Campestre,BR,-21.7111,-46.2464,56.14,97,3,3.31,1612856152
Leningradskiy,RU,69.3833,178.4167,-24.84,84,44,11.63,1612856152
George Town,MY,5.4112,100.3354,89.6,66,20,6.91,1612856028
Sabha,LY,27.0377,14.4283,63.45,26,0,6.35,1612856152
Kargasok,RU,59.0556,80.8572,3.74,93,100,15.21,1612856152
Provincia di Campobasso,IT,41.6333,14.5833,55.0,82,100,19.3,1612856153
Jobner,IN,26.9667,75.3833,78.8,18,20,5.75,1612856153
Wencheng,CN,33.0559,113.7978,56.73,41,100,4.18,1612856153
Nur,PL,52.6683,22.3221,19.0,71,100,1.99,1612856153
Makokou,GA,0.5738,12.8642,69.8,94,75,3.91,1612856153
Bodh Gaya,IN,24.7,84.9833,73.4,43,0,4.61,1612856153
Winnemucca,US,40.973,-117.7357,39.2,41,90,6.91,1612856153
Bamiantong,CN,44.9333,130.5333,12.36,91,5,7.07,1612856153
Tarko-Sale,RU,64.9225,77.785,-6.0,91,90,7.9,1612856153
Misratah,LY,32.3754,15.0925,62.46,37,0,16.15,1612856154
Barcelos,PT,41.5388,-8.6151,53.6,94,90,14.97,1612856154
Raudeberg,NO,61.9875,5.1352,19.99,64,0,7.54,1612856154
Qingdao,CN,36.0986,120.3719,46.4,34,0,13.42,1612856154
Fortuna,US,40.5982,-124.1573,45.0,100,40,5.75,1612856154
Santiago del Estero,AR,-27.7951,-64.2615,68.0,94,100,1.99,1612856154
Gdańsk,PL,54.3521,18.6464,17.01,86,90,11.5,1612856154
Dzilam González,MX,21.2833,-88.9333,69.03,94,0,5.03,1612856154
Fukuyama,JP,34.4833,133.3667,46.99,52,75,3.44,1612856154
Cariamanga,EC,-4.3333,-79.55,51.22,100,97,0.78,1612856154
Hohhot,CN,40.8106,111.6522,41.0,19,0,6.71,1612856154
Beaverlodge,CA,55.2166,-119.4361,-34.6,74,40,2.3,1612856155
Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,1612856155
Victoria Point,AU,-27.5833,153.3,78.01,55,16,15.01,1612856155
Manali,IN,13.1667,80.2667,84.2,51,40,11.5,1612856155
Sychëvka,RU,55.8252,34.2736,7.38,94,100,11.21,1612856155
Sadon,RU,42.8518,44.0037,30.2,93,100,2.24,1612856155
Lagos,NG,6.5833,3.75,83.82,74,100,3.09,1612856029
Paris,FR,48.8534,2.3488,28.0,86,90,5.75,1612855990
Khani,GE,41.9563,42.9566,60.8,44,90,4.61,1612856156
Agía Galíni,GR,35.1,24.6833,62.01,76,32,1.01,1612856156
Manta,EC,-0.95,-80.7333,75.2,78,20,2.3,1612856156
Nara,JP,34.6851,135.8049,44.01,56,75,9.22,1612856156
Maceió,BR,-9.6658,-35.7353,73.4,94,20,3.44,1612855991
Deputatsky,RU,69.3,139.9,-16.83,89,100,1.52,1612856156
Vilhena,BR,-12.7406,-60.1458,68.43,96,100,1.7,1612856156
Yumen,CN,40.2833,97.2,46.81,40,19,5.28,1612856156
Ionia,US,42.9873,-85.0711,12.2,85,75,2.1,1612856156
Umeå,SE,63.8284,20.2597,1.4,85,90,3.62,1612856156
Munger,IN,25.3833,86.4667,77.81,29,0,7.27,1612855953
Kanel,SN,15.4916,-13.1763,69.8,32,0,2.3,1612856157
High Level,CA,58.5169,-117.136,-20.2,63,75,8.05,1612856157
Karpathos,GR,35.507,27.2132,66.2,63,20,1.14,1612856157
Katsuura,JP,35.1333,140.3,48.0,25,20,10.36,1612856157
La Romana,DO,18.4273,-68.9728,78.8,69,75,14.97,1612856157
Brae,GB,60.3964,-1.353,30.2,74,40,13.8,1612856157
Nuevo Progreso,MX,23.1667,-97.95,68.0,96,54,2.26,1612856157
Honiara,SB,-9.4333,159.95,79.43,81,99,8.48,1612856158
Dillon,US,34.4166,-79.3712,46.0,93,75,5.75,1612856158
Yantal',RU,56.8471,105.2542,34.65,84,100,6.71,1612856158
Kendari,ID,-3.945,122.4989,88.72,55,100,1.05,1612856158
Nelson Bay,AU,-32.7167,152.15,73.4,56,20,17.27,1612856158
Arica,CL,-18.475,-70.3042,68.0,77,0,2.3,1612856039
Ankang,CN,32.68,109.0172,60.75,35,100,0.94,1612856158
Madimba,TZ,-10.4,40.3333,77.0,94,90,20.71,1612856158
Boca del Rio,MX,19.1,-96.1,73.0,71,25,3.96,1612856158
Bandarbeyla,SO,9.4942,50.8122,78.76,60,56,25.66,1612856158
Aklavik,CA,68.2191,-135.0107,-40.0,74,9,2.3,1612855564
Iporá,BR,-16.4419,-51.1178,64.76,93,0,1.83,1612856159
Bima,ID,-8.4667,118.7167,83.52,79,100,1.21,1612856159
Racale,IT,39.9631,18.0938,57.99,88,20,14.97,1612856159
Inírida,CO,3.8653,-67.9239,73.89,95,100,1.72,1612856159
Mathathane,BW,-22.2687,28.7495,80.69,56,100,16.49,1612856159
Yeppoon,AU,-23.1333,150.7333,82.4,57,75,12.66,1612856159
San Vicente,AR,-26.6167,-54.1333,61.61,88,35,2.33,1612856159
Tigil',RU,57.8,158.6667,22.28,91,100,19.95,1612856159
Bilma,NE,18.6853,12.9164,72.3,18,90,11.99,1612856159
Kawambwa,ZM,-9.7915,29.0791,67.78,95,100,2.62,1612856160
Kulhudhuffushi,MV,6.6221,73.07,82.11,61,12,1.16,1612856160
Leh,IN,34.1667,77.5833,26.46,70,0,1.72,1612856160
Carauari,BR,-4.8828,-66.8958,73.58,96,98,1.25,1612856160
Burns Lake,CA,54.2331,-125.7533,-7.6,77,100,4.61,1612856160
Colares,PT,38.7992,-9.4469,57.0,96,100,29.89,1612856160
Waipawa,NZ,-41.4122,175.5153,69.8,68,75,20.71,1612856160
Flin Flon,CA,54.7682,-101.865,-14.15,86,100,13.44,1612856160
Tabou,CI,4.423,-7.3528,77.61,87,5,4.43,1612856160
